run,task_name,model_name,method,lora_placement,lora_r,lora_alpha,lora_dropout,max_train_samples,max_train_questions,max_eval_questions,num_negative_candidates,layer_indices,trainable_parameters,train_candidate_examples,eval_candidate_examples,primary_metric,primary_metric_value,answer_selection_accuracy,mrr,matthews_correlation,f1,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
rte_lora_r4_attention,rte,roberta-base,lora,attention,4,32.0,0.1,,,,,all,739586,,,accuracy,0.6931407942238267,,,,,0.6931407942238267,0.12556665478508952,0.8744333452149105,0.6013095779179045,0.406751982668739,0.8187074490089162,0.36823104693140796,0.631768953068592,0.8,,
rte_lora_r4_attention_mlp,rte,roberta-base,lora,attention_mlp,4,32.0,0.1,,,,,all,1108226,,,accuracy,0.7436823104693141,,,,,0.7436823104693141,0.13918065647300554,0.8608193435269944,0.6150511109110897,0.3769633769386227,0.8805746962268446,0.22743682310469315,0.7725631768953068,0.8084112149532711,,
rte_lora_r4_mlp,rte,roberta-base,lora,mlp,4,32.0,0.1,,,,,all,960770,,,accuracy,0.7328519855595668,,,,,0.7328519855595668,0.13263726778153678,0.8673627322184632,0.5779170413494547,0.3630322465136122,0.8654892533411035,0.26714801444043323,0.7328519855595668,0.8325123152709359,,
rte_lora_r8_attention,rte,roberta-base,lora,attention,8,32.0,0.1,,,,,all,887042,,,accuracy,0.7111913357400722,,,,,0.7111913357400722,0.1028836746472537,0.8971163253527463,0.5850745964802826,0.39357833020458155,0.8116703482816072,0.37906137184115524,0.6209386281588448,0.8197674418604651,,
rte_lora_r8_attention_mlp,rte,roberta-base,lora,attention_mlp,8,32.0,0.1,,,,,all,1624322,,,accuracy,0.776173285198556,,,,,0.776173285198556,0.10870419346552902,0.8912958065344709,0.5265167110910522,0.3244312308060606,0.8777070153140583,0.24187725631768953,0.7581227436823105,0.8523809523809524,,
rte_lora_r8_mlp,rte,roberta-base,lora,mlp,8,32.0,0.1,,,,,all,1329410,,,accuracy,0.7617328519855595,,,,,0.7617328519855595,0.09644781560932042,0.9035521843906795,0.5212536125578296,0.33962540224814747,0.8496864564301344,0.26714801444043323,0.7328519855595668,0.8325123152709359,,
sst2_lora_r16_attention,sst2,roberta-base,lora,attention,16,32.0,0.1,,,,,all,1181954,,,accuracy,0.9415137614678899,,,,,0.9415137614678899,0.04826939684444815,0.9517306031555518,0.24009075961362136,0.10489443372583854,0.9862841322818329,0.017201834862385322,0.9827981651376146,0.9474912485414235,,
sst2_lora_r16_attention_mlp,sst2,roberta-base,lora,attention_mlp,16,32.0,0.1,,,,,all,2656514,,,accuracy,0.948394495412844,,,,,0.948394495412844,0.04557144362682627,0.9544285563731737,0.23272053718970917,0.09586569955005138,0.9909440239638745,0.01261467889908257,0.9873853211009175,0.9523809523809523,,
sst2_lora_r16_mlp,sst2,roberta-base,lora,mlp,16,32.0,0.1,,,,,all,2066690,,,accuracy,0.9461009174311926,,,,,0.9461009174311926,0.043907375678901545,0.9560926243210984,0.2300325059202935,0.09766222639438697,0.9895217196407124,0.010321100917431193,0.9896788990825688,0.9501738122827347,,
sst2_lora_r1_attention,sst2,roberta-base,lora,attention,1,32.0,0.1,,,,,all,628994,,,accuracy,0.9392201834862385,,,,,0.9392201834862385,0.04212838865115101,0.957871611348849,0.22324229340542004,0.1037339855010191,0.9782101845463326,0.034403669724770644,0.9655963302752294,0.9524940617577197,,
sst2_lora_r1_attention_mlp,sst2,roberta-base,lora,attention_mlp,1,32.0,0.1,,,,,all,721154,,,accuracy,0.9392201834862385,,,,,0.9392201834862385,0.05050062982903414,0.9494993701709659,0.26210404846342655,0.10883304720827926,0.9881768155329622,0.016055045871559634,0.9839449541284404,0.9463869463869464,,
sst2_lora_r1_mlp,sst2,roberta-base,lora,mlp,1,32.0,0.1,,,,,all,684290,,,accuracy,0.9438073394495413,,,,,0.9438073394495413,0.04859552856024668,0.9514044714397534,0.24555090161541032,0.10300307861999002,0.9872678830698578,0.01834862385321101,0.981651376146789,0.9497663551401869,,
sst2_lora_r4_attention,sst2,roberta-base,lora,attention,4,32.0,0.1,,,,,all,739586,,,accuracy,0.9392201834862385,,,,,0.9392201834862385,0.050684195988442655,0.9493158040115574,0.25117351139993,0.10792551718957663,0.9876483814429683,0.0194954128440367,0.9805045871559633,0.9473684210526315,,
sst2_lora_r4_attention_mlp,sst2,roberta-base,lora,attention_mlp,4,32.0,0.1,,,,,all,1108226,,,accuracy,0.9564220183486238,,,,,0.9564220183486238,0.03837794403957031,0.9616220559604297,0.22101657568734018,0.0807351979565255,0.991176875429172,0.010321100917431193,0.9896788990825688,0.9617612977983777,,
sst2_lora_r4_mlp,sst2,roberta-base,lora,mlp,4,32.0,0.1,,,,,all,960770,,,accuracy,0.944954128440367,,,,,0.944954128440367,0.049292661551057805,0.9507073384489422,0.2436883137281049,0.10261674086614572,0.9906516037869646,0.009174311926605505,0.9908256880733946,0.9479166666666666,,
sst2_lora_r8_attention,sst2,roberta-base,lora,attention,8,32.0,0.1,,,,,all,887042,,,accuracy,0.9415137614678899,,,,,0.9415137614678899,0.049166157264722885,0.9508338427352772,0.24469550908166257,0.1082779975809442,0.9868873213683469,0.016055045871559634,0.9839449541284404,0.9452214452214452,,
sst2_lora_r8_attention_mlp,sst2,roberta-base,lora,attention_mlp,8,32.0,0.1,,,,,all,1624322,,,accuracy,0.9426605504587156,,,,,0.9426605504587156,0.0495621129898171,0.950437887010183,0.24848288228415946,0.10156905156250035,0.9900646358203589,0.016055045871559634,0.9839449541284404,0.9498834498834499,,
sst2_lora_r8_mlp,sst2,roberta-base,lora,mlp,8,32.0,0.1,,,,,all,1329410,,,accuracy,0.9369266055045872,,,,,0.9369266055045872,0.05122658395746975,0.9487734160425303,0.25144889988008523,0.10854616518734309,0.9881531894620568,0.020642201834862386,0.9793577981651376,0.9484777517564403,,
